scenario,matches,troops_per_player,battlefields,total_battlefield_value,avg_runtime_ms,max_runtime_ms,avg_score_margin_abs,draw_rate,avg_tied_battlefields
baseline,20250,20,5,15,0.02165498266307016,20.039400027599186,3.6180246913580247,0.13318518518518518,1.2035061728395062
high_value,24300,40,6,42,0.01990681059142084,29.28859999519773,10.987818930041152,0.08563786008230452,1.0075720164609054
large,28350,45,8,36,0.023620878286722134,26.65280000655912,10.621552028218694,0.08335097001763668,1.5667372134038802
medium,24300,30,6,21,0.018661930115602205,27.417800010880455,5.413168724279835,0.09913580246913581,1.0539506172839506
small,12150,15,4,10,0.018746979422522365,32.56900000269525,2.349053497942387,0.15102880658436213,0.8783539094650206
wide,32400,60,10,49,0.023204533847294644,28.63630000501871,13.019722222222223,0.09243827160493827,1.8426543209876542
