strategy,anti_top_heavy,balanced_priority,defensive_spread,noisy_weighted,random_partition,top_heavy,uniform,weighted_value,winner_take_most
anti_top_heavy,0.0,1.0,1.0,0.8911031746031747,0.36420238095238094,1.0,0.8711111111111111,1.0,-0.3333333333333333
balanced_priority,-1.0,0.0,-0.8333333333333334,-0.6406666666666667,0.6532777777777777,1.0,1.0,-1.0,-0.3333333333333333
defensive_spread,-1.0,0.8333333333333334,0.0,-0.2783730158730159,0.7288015873015873,1.0,1.0,-0.9311111111111111,-0.3333333333333333
noisy_weighted,-0.874547619047619,0.6485912698412698,0.20673412698412696,0.0,0.6907857142857142,1.0,0.9512539682539684,-0.05901984126984128,-0.3311111111111111
random_partition,-0.3592222222222223,-0.6378373015873016,-0.7537698412698414,-0.665813492063492,0.0,-0.16018253968253968,-0.5014285714285714,-0.7532460317460318,-0.2900039682539683
top_heavy,-1.0,-1.0,-1.0,-1.0,0.16448809523809527,0.0,-1.0,-1.0,1.0
uniform,-0.8833333333333333,-1.0,-1.0,-0.9535,0.47456746031746033,1.0,0.0,-1.0,-0.3333333333333333
weighted_value,-1.0,1.0,0.9199999999999999,0.07468253968253967,0.7477698412698413,1.0,1.0,0.0,-0.3333333333333333
winner_take_most,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3311111111111111,0.30598015873015877,-1.0,0.3333333333333333,0.3333333333333333,0.0
