scenario,opponent_strategy,round,selected_strategy,reward,winner,player_1_score,player_2_score
small,anti_top_heavy,82,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,83,uniform,0.0,0,5.0,5.0
small,anti_top_heavy,84,balanced_priority,-0.1,2,4.5,5.5
small,anti_top_heavy,85,anti_top_heavy,0.0,0,5.0,5.0
small,anti_top_heavy,86,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,87,defensive_spread,-0.2,2,4.0,6.0
small,anti_top_heavy,88,top_heavy,-0.2,2,4.0,6.0
small,anti_top_heavy,89,weighted_value,-0.2,2,4.0,6.0
small,anti_top_heavy,90,uniform,-0.1,2,4.5,5.5
small,anti_top_heavy,91,random_partition,-0.2,2,4.0,6.0
small,anti_top_heavy,92,anti_top_heavy,0.0,0,5.0,5.0
small,anti_top_heavy,93,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,94,balanced_priority,-0.1,2,4.5,5.5
small,anti_top_heavy,95,noisy_weighted,0.1,1,5.5,4.5
small,anti_top_heavy,96,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,97,uniform,0.0,0,5.0,5.0
small,anti_top_heavy,98,noisy_weighted,-0.2,2,4.0,6.0
small,anti_top_heavy,99,anti_top_heavy,0.0,0,5.0,5.0
small,anti_top_heavy,100,random_partition,-0.4,2,3.0,7.0
small,anti_top_heavy,101,defensive_spread,-0.2,2,4.0,6.0
small,anti_top_heavy,102,top_heavy,-0.2,2,4.0,6.0
small,anti_top_heavy,103,weighted_value,-0.2,2,4.0,6.0
small,anti_top_heavy,104,balanced_priority,-0.1,2,4.5,5.5
small,anti_top_heavy,105,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,106,uniform,0.0,0,5.0,5.0
small,anti_top_heavy,107,anti_top_heavy,0.0,0,5.0,5.0
small,anti_top_heavy,108,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,109,noisy_weighted,-0.2,2,4.0,6.0
small,anti_top_heavy,110,random_partition,0.0,0,5.0,5.0
small,anti_top_heavy,111,balanced_priority,-0.1,2,4.5,5.5
small,anti_top_heavy,112,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,113,defensive_spread,-0.2,2,4.0,6.0
small,anti_top_heavy,114,top_heavy,-0.2,2,4.0,6.0
small,anti_top_heavy,115,weighted_value,-0.2,2,4.0,6.0
small,anti_top_heavy,116,uniform,-0.1,2,4.5,5.5
small,anti_top_heavy,117,anti_top_heavy,0.0,0,5.0,5.0
small,anti_top_heavy,118,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,119,random_partition,-0.1,2,4.5,5.5
small,anti_top_heavy,120,anti_top_heavy,0.0,0,5.0,5.0
small,balanced_priority,1,anti_top_heavy,0.1,1,5.5,4.5
small,balanced_priority,2,balanced_priority,0.0,0,5.0,5.0
small,balanced_priority,3,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,4,noisy_weighted,0.3,1,6.5,3.5
small,balanced_priority,5,random_partition,-0.4,2,3.0,7.0
small,balanced_priority,6,top_heavy,-0.2,2,4.0,6.0
small,balanced_priority,7,uniform,-0.1,2,4.5,5.5
small,balanced_priority,8,weighted_value,0.6,1,8.0,2.0
small,balanced_priority,9,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,10,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,11,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,12,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,13,noisy_weighted,0.1,1,5.5,4.5
small,balanced_priority,14,anti_top_heavy,0.1,1,5.5,4.5
small,balanced_priority,15,balanced_priority,0.0,0,5.0,5.0
small,balanced_priority,16,uniform,-0.4,2,3.0,7.0
small,balanced_priority,17,top_heavy,-0.2,2,4.0,6.0
small,balanced_priority,18,weighted_value,0.6,1,8.0,2.0
small,balanced_priority,19,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,20,random_partition,-0.4,2,3.0,7.0
small,balanced_priority,21,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,22,noisy_weighted,0.6,1,8.0,2.0
small,balanced_priority,23,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,24,anti_top_heavy,0.1,1,5.5,4.5
small,balanced_priority,25,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,26,noisy_weighted,0.6,1,8.0,2.0
small,balanced_priority,27,balanced_priority,0.0,0,5.0,5.0
small,balanced_priority,28,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,29,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,30,noisy_weighted,0.2,1,6.0,4.0
small,balanced_priority,31,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,32,top_heavy,-0.2,2,4.0,6.0
small,balanced_priority,33,anti_top_heavy,0.1,1,5.5,4.5
small,balanced_priority,34,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,35,uniform,-0.1,2,4.5,5.5
small,balanced_priority,36,weighted_value,0.6,1,8.0,2.0
small,balanced_priority,37,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,38,noisy_weighted,0.1,1,5.5,4.5
small,balanced_priority,39,balanced_priority,0.0,0,5.0,5.0
small,balanced_priority,40,weighted_value,0.6,1,8.0,2.0
small,balanced_priority,41,random_partition,0.0,0,5.0,5.0
small,balanced_priority,42,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,43,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,44,weighted_value,0.6,1,8.0,2.0
small,balanced_priority,45,anti_top_heavy,0.1,1,5.5,4.5
small,balanced_priority,46,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,47,noisy_weighted,0.0,0,5.0,5.0
small,balanced_priority,48,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,49,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,50,top_heavy,-0.2,2,4.0,6.0
small,balanced_priority,51,uniform,-0.4,2,3.0,7.0
small,balanced_priority,52,balanced_priority,0.0,0,5.0,5.0
small,balanced_priority,53,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,54,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,55,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,56,random_partition,-0.8,2,1.0,9.0
small,balanced_priority,57,anti_top_heavy,0.1,1,5.5,4.5
small,balanced_priority,58,weighted_value,0.6,1,8.0,2.0
small,balanced_priority,59,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,60,noisy_weighted,0.2,1,6.0,4.0
small,balanced_priority,61,weighted_value,0.6,1,8.0,2.0
small,balanced_priority,62,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,63,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,64,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,65,balanced_priority,0.0,0,5.0,5.0
small,balanced_priority,66,noisy_weighted,0.3,1,6.5,3.5
small,balanced_priority,67,anti_top_heavy,0.1,1,5.5,4.5
small,balanced_priority,68,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,69,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,70,weighted_value,0.6,1,8.0,2.0
small,balanced_priority,71,top_heavy,-0.2,2,4.0,6.0
small,balanced_priority,72,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,73,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,74,noisy_weighted,0.2,1,6.0,4.0
small,balanced_priority,75,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,76,uniform,-0.4,2,3.0,7.0
small,balanced_priority,77,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,78,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,79,anti_top_heavy,0.1,1,5.5,4.5
small,balanced_priority,80,balanced_priority,0.0,0,5.0,5.0
small,balanced_priority,81,noisy_weighted,0.2,1,6.0,4.0
small,balanced_priority,82,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,83,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,84,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,85,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,86,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,87,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,88,anti_top_heavy,0.1,1,5.5,4.5
small,balanced_priority,89,noisy_weighted,-0.2,2,4.0,6.0
small,balanced_priority,90,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,91,top_heavy,-0.2,2,4.0,6.0
small,balanced_priority,92,weighted_value,0.6,1,8.0,2.0
small,balanced_priority,93,balanced_priority,0.0,0,5.0,5.0
small,balanced_priority,94,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,95,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,96,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,97,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,98,random_partition,0.2,1,6.0,4.0
small,balanced_priority,99,weighted_value,0.6,1,8.0,2.0
small,balanced_priority,100,anti_top_heavy,0.1,1,5.5,4.5
small,balanced_priority,101,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,102,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,103,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,104,noisy_weighted,0.2,1,6.0,4.0
small,balanced_priority,105,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,106,weighted_value,0.6,1,8.0,2.0
small,balanced_priority,107,random_partition,-0.8,2,1.0,9.0
small,balanced_priority,108,uniform,-0.2,2,4.0,6.0
small,balanced_priority,109,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,110,balanced_priority,0.0,0,5.0,5.0
small,balanced_priority,111,weighted_value,0.6,1,8.0,2.0
small,balanced_priority,112,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,113,anti_top_heavy,0.1,1,5.5,4.5
small,balanced_priority,114,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,115,defensive_spread,0.3,1,6.5,3.5
small,balanced_priority,116,noisy_weighted,0.0,0,5.0,5.0
